State,St_Code,Year,NDVI,Tr_State,Post,DiD,Rainfall_June,RainyDays_June,Rainfall_May,RainyDays_May,Rainfall_P1,RainyDays_P1,Rainfall_P2,RainyDays_P2,Temp_June,Temp_May,Temp_P1,Temp_P2,Time_To_Treatment,Log_NDVI,Log_Rainfall_June,Log_Rainfall_May,Log_Temp_June,Log_Temp_May,GSDP,AgGDP,Population,SoD,RiceT,RiceK
Jharkhand,5,2009,0.4733021,0,1,0,74.54288458,30,129.3974669,30,8.977078841,40,26.7021667,26,304.9209287,303.4449516,301.4605668,296.4474666,0,-0.748021405,4.311374592,4.862888806,5.720052493,5.715200216,NA,NA,NA,NA,825.79,0
Jharkhand,5,2010,0.479916344,0,1,0,144.7161427,30,51.57393597,31,6.251436402,34,57.44291277,41,304.4951387,304.6678132,303.8029983,297.4361956,1,-0.734143474,4.974774187,3.943016428,5.718655122,5.719222046,NA,NA,NA,NA,NA,NA
Jharkhand,5,2011,0.465999084,0,1,0,397.9902978,30,55.05889137,31,32.14230009,41,22.70234383,36,302.0239383,303.8355206,300.5450693,296.2133829,2,-0.763571611,5.986427628,4.008403364,5.71050628,5.716486504,NA,NA,NA,NA,NA,NA
Jharkhand,5,2012,0.442166281,0,1,0,147.2817643,30,11.88091412,31,15.45474145,41,61.60742024,32,305.3226013,305.7602323,300.460198,295.4695744,3,-0.816069266,4.992347516,2.474933257,5.721368927,5.72280124,NA,NA,NA,NA,NA,NA
Jharkhand,5,2013,0.494345144,0,1,0,216.8450083,30,90.05809443,31,27.15800215,33,124.4804403,30,301.785475,304.4163839,301.0191963,295.3335371,4,-0.704521334,5.379182851,4.500454956,5.709716417,5.718396448,NA,NA,NA,NA,NA,NA
Jharkhand,5,2014,0.462970703,0,1,0,177.5962056,30,77.5527345,28,6.367628411,36,38.87474239,32,304.0097927,304.2238171,300.530381,295.9691112,5,-0.770091503,5.179512465,4.35095815,5.717059914,5.717763671,NA,NA,NA,NA,NA,NA
Jharkhand,5,2015,0.462424659,0,1,0,216.0629459,30,48.3234814,31,58.75939891,40,25.20921911,41,303.1054467,304.8861394,299.9468546,297.398488,6,-0.771271635,5.375569781,3.8779176,5.714080754,5.719938393,NA,NA,NA,NA,NA,NA
Jharkhand,5,2016,0.476439956,0,1,0,138.1638982,30,59.57112486,31,19.50668004,35,5.75281317,31,303.7255797,304.0029335,302.57143,296.485328,7,-0.741413574,4.928440649,4.087170974,5.716124595,5.717037351,NA,NA,NA,NA,NA,NA
Karnataka,6,2002,0.390975477,0,0,0,219.254117,30,78.84785268,31,25.18454811,41,132.1805582,41,298.8585853,301.9356003,302.0020207,297.5987624,-7,-0.93911044,5.390231409,4.36752008,5.699970503,5.710213751,NA,NA,NA,NA,1154.79,1030.45
Karnataka,6,2003,0.350331019,0,0,0,193.0270647,30,15.02568483,31,42.40890932,41,87.02751913,41,300.1516143,303.3678397,301.9698766,298.0181532,-6,-1.048876803,5.262830411,2.709761059,5.704287728,5.714946062,NA,NA,NA,NA,1073.92,944.29
Karnataka,6,2004,0.387542597,0,0,0,200.2740618,30,175.658564,31,39.23221448,41,80.79781507,41,298.5751583,300.1267968,302.1674341,297.8489354,-5,-0.947929508,5.299686738,5.168542133,5.699021688,5.704205041,16674713,2645533,NA,70,1308.18,1055.09
Karnataka,6,2005,0.39817098,0,0,0,204.8245616,30,52.92981393,31,42.75501158,41,189.6233046,38,299.826929,302.5932768,301.5294612,296.492749,-4,-0.920873768,5.322153816,3.968966771,5.703205405,5.712389583,18427703,3258811,NA,NA,1485.17,1076.03
Karnataka,6,2006,0.420187893,0,0,0,241.6515278,30,176.2422831,31,25.66146902,41,126.3050673,41,298.8754057,301.675299,301.3437183,297.8371817,-3,-0.867053303,5.487496721,5.171859657,5.700026783,5.70935127,20266010,3326756,56973,NA,1395.68,1066.99
Karnataka,6,2007,0.402855531,0,0,0,363.4940826,30,78.35600035,31,27.97877742,41,142.529214,37,299.0177847,301.9422068,302.0939905,297.3626456,-2,-0.909177265,5.895763018,4.36126255,5.700503052,5.710235631,22820215,3902162,NA,NA,1416.33,1051.46
Karnataka,6,2008,0.389266824,0,0,0,173.7607453,30,67.43155203,31,157.4050712,41,93.09179066,41,298.9480637,301.7703313,300.1219076,297.4908463,-1,-0.943490248,5.157679326,4.211113039,5.700269858,5.709666236,24442138,4061267,NA,NA,1513.99,1129.89
Karnataka,6,2009,0.4181792,0,1,0,186.4730524,30,93.80014606,31,35.52338568,41,146.1125478,41,299.4744797,302.0344371,301.77334,297.978012,0,-0.87184523,5.228286737,4.541166413,5.702029204,5.710541041,NA,NA,NA,NA,1486.49,1102.24
Karnataka,6,2010,0.421158562,0,1,0,230.9051227,30,52.83254148,31,20.93647021,41,216.8220037,41,299.7392973,302.8648906,302.4992961,297.3915685,1,-0.864745884,5.442006902,3.967127317,5.702913088,5.713286801,NA,NA,NA,NA,NA,NA
Karnataka,6,2011,0.411410265,0,1,0,216.5948885,30,62.01345413,31,26.75078959,41,130.3981814,39,298.6316067,301.8157319,301.134229,297.8407493,2,-0.888164351,5.378028735,4.127351364,5.699210729,5.709816672,NA,NA,NA,NA,NA,NA
Karnataka,6,2012,0.375950452,0,1,0,192.3268764,30,40.96795999,31,21.38812826,41,126.0302004,38,299.5886897,302.1049781,301.8141756,297.2891202,3,-0.978297921,5.259196405,3.712790298,5.702410499,5.710774566,NA,NA,NA,NA,NA,NA
Karnataka,6,2013,0.389297033,0,1,0,296.2750904,30,67.80853624,31,8.816824411,41,105.7191415,41,298.2162253,302.5604845,302.2444044,297.3898459,4,-0.943412646,5.691288382,4.21668809,5.697818812,5.712281206,NA,NA,NA,NA,NA,NA
Karnataka,6,2014,0.402836021,0,1,0,103.3487961,30,113.5370916,31,21.92530789,41,123.2441339,41,300.6433563,301.957659,302.1142595,297.8559517,5,-0.909225696,4.638109637,4.732129581,5.7059247,5.710286806,NA,NA,NA,NA,NA,NA
Karnataka,6,2015,0.43028152,0,1,0,219.3046989,30,98.23472096,31,58.78996484,41,109.8994012,41,299.4382803,302.1370174,301.4247793,298.9011544,6,-0.843315587,5.390462082,4.587359727,5.701908321,5.710880615,NA,NA,NA,NA,NA,NA
Karnataka,6,2016,0.389547862,0,1,0,348.9051153,30,70.14013626,31,9.694203186,41,32.05324697,41,298.8451007,302.8765552,303.4598688,298.3000878,7,-0.942768541,5.854800009,4.250495187,5.699925381,5.713325314,NA,NA,NA,NA,NA,NA
Kerala,7,2002,0.661657476,0,0,0,343.2518915,30,289.6627877,31,134.5556281,41,379.7785211,41,298.080172,299.3579845,300.166959,297.9073846,-7,-0.413007265,5.838464555,5.668717445,5.697362484,5.70164013,NA,NA,NA,NA,310.53,112.45
Kerala,7,2003,0.68581183,0,0,0,530.3501119,30,174.7218644,31,180.6441963,41,261.4543777,41,298.3903357,300.0092926,300.1541837,298.0665295,-6,-0.377151989,6.273537377,5.163195364,5.698402481,5.703813449,NA,NA,NA,NA,287.34,102.77
Kerala,7,2004,0.648770123,0,0,0,473.9784899,30,447.4562721,31,179.7490302,41,312.3915396,41,297.831918,298.4511994,300.5261415,298.2707237,-5,-0.432676827,6.161161941,6.103578817,5.696529294,5.698606433,11926400,1698051,NA,47,289.99,105.36
Kerala,7,2005,0.643714122,0,0,0,446.623063,30,162.6139068,31,173.7621663,41,353.940454,41,298.4400403,300.18602,300.2487659,297.8957163,-4,-0.440500561,6.101714979,5.091378721,5.698569043,5.704402349,13129393,1894914,NA,NA,275.74,98.26
Kerala,7,2006,0.700571764,0,0,0,389.3765231,30,430.7890149,31,159.4842034,41,495.5174886,41,298.3638553,299.2287987,300.1967698,298.0749717,-3,-0.355858472,5.964546801,6.065618446,5.698313733,5.701208494,14166669,2082101,32623.5,NA,263.54,83.86
Kerala,7,2007,0.727624706,0,0,0,651.6059653,30,258.3321024,31,147.9097158,41,399.0601773,41,298.3691867,299.7574713,300.7116707,297.9309332,-2,-0.317969877,6.479440032,5.554245976,5.698331601,5.702973719,15409268,2221633,NA,NA,228.94,77.53
Kerala,7,2008,0.638321541,0,0,0,380.1129278,30,216.7796638,31,306.7494267,41,359.9392717,41,298.0948657,299.391999,299.3152093,298.3830351,-1,-0.44891314,5.940468387,5.378881464,5.697411777,5.701753748,16265920,2492744,NA,NA,234.28,79.39
