"","State","Year","Period","AOD","Post","Tr_State","DiD","DDD","Period_Post","log_AOD","Tr_State_Period","Rainfall_June","RainyDays_June","Rainfall_May","RainyDays_May","Rainfall_P1","RainyDays_P1","Rainfall_P2","RainyDays_P2","Temp_June","Temp_May","Temp_P1","Temp_P2","Rainfall_P","Temp_P","Time_To_Treatment","Log_Rainfall_P","Log_Temp_P","Log_AOD","GSDP","AgGDP","Population","SoD","RiceT","RiceK"
"513","Uttar Pradesh",2003,0,0.447243467,0,0,0,0,0,-0.804652163743033,0,159.773816479,30,5.227642021,30,12.023881109,41,5.407090871,40,305.750701666667,305.74818483871,300.288202682927,296.082071707317,12.023881109,300.288202682927,-6,2.48689476459407,5.70474268911247,-0.804652163743033,NA,NA,NA,NA,"5727.8","5719.92"
"514","Uttar Pradesh",2003,1,0.564944667,0,0,0,0,0,-0.571027487144868,0,159.773816479,30,5.227642021,30,12.023881109,41,5.407090871,40,305.750701666667,305.74818483871,300.288202682927,296.082071707317,5.407090871,296.082071707317,-6,1.68771121643582,5.69063668517351,-0.571027487144868,NA,NA,NA,NA,"5727.8","5719.92"
"515","Uttar Pradesh",2004,1,0.65174347,0,0,0,0,0,-0.428104245397851,0,175.681119659,30,12.021916935,30,1.537620822,38,30.516646096,35,304.134515,305.934008387097,302.260073902439,295.240849756098,30.516646096,295.240849756098,-5,3.41827230837245,5.68779146308528,-0.428104245397851,26084066,7016710,NA,70,"5934.47","5934.47"
"516","Uttar Pradesh",2004,0,0.478369444,0,0,0,0,0,-0.737371949623028,0,175.681119659,30,12.021916935,30,1.537620822,38,30.516646096,35,304.134515,305.934008387097,302.260073902439,295.240849756098,1.537620822,302.260073902439,-5,0.430236301025655,5.71128781864151,-0.737371949623028,26084066,7016710,NA,70,"5934.47","5934.47"
"517","Uttar Pradesh",2005,1,0.597522741,0,0,0,0,0,-0.514962935649698,0,106.208609671,29,8.32439819,30,7.010173541,36,16.295092262,34,307.388425666667,305.695117419355,300.3802,295.770062682927,16.295092262,295.770062682927,-4,2.7908639742557,5.68958233718636,-0.514962935649698,27781788,7660367,NA,NA,"5571.55","5571.55"
"518","Uttar Pradesh",2005,0,0.41226729,0,0,0,0,0,-0.886083377851867,0,106.208609671,29,8.32439819,30,7.010173541,36,16.295092262,34,307.388425666667,305.695117419355,300.3802,295.770062682927,7.010173541,300.3802,-4,1.94736245694549,5.7050490056005,-0.886083377851867,27781788,7660367,NA,NA,"5571.55","5571.55"
"519","Uttar Pradesh",2006,1,0.713772164,0,0,0,0,0,-0.337191465604381,0,142.190192168,30,32.651907547,31,27.052925942,41,7.187636568,41,304.796907,305.336098387097,299.820689512195,297.06432902439,7.187636568,297.06432902439,-3,1.97236240670817,5.69394871139088,-0.337191465604381,30022535,8232034,183005,NA,"5920.8","5902.63"
"520","Uttar Pradesh",2006,0,0.363900079,0,0,0,0,0,-1.01087595727144,0,142.190192168,30,32.651907547,31,27.052925942,41,7.187636568,41,304.796907,305.336098387097,299.820689512195,297.06432902439,27.052925942,299.820689512195,-3,3.29779516735404,5.70318459433536,-1.01087595727144,30022535,8232034,183005,NA,"5920.8","5902.63"
"521","Uttar Pradesh",2007,0,0.401673771,0,0,0,0,0,-0.912115034744977,0,134.395658622,30,22.021295132,31,41.11996487,36,11.272326834,38,305.663483,305.286078064516,300.112117317073,296.407782926829,41.11996487,300.112117317073,-2,3.71649376681775,5.70415612922888,-0.912115034744977,32221349,9262309,NA,NA,"5709.45","5690.61"
"522","Uttar Pradesh",2007,1,0.722060135,0,0,0,0,0,-0.325646854084002,0,134.395658622,30,22.021295132,31,41.11996487,36,11.272326834,38,305.663483,305.286078064516,300.112117317073,296.407782926829,11.272326834,296.407782926829,-2,2.42235076938539,5.69173615126487,-0.325646854084002,32221349,9262309,NA,NA,"5709.45","5690.61"
